"Row Labels","Count of substance","Sum of quantity","SUPER_SPECIAL_SUB_NAME","SUB_TYPE","Direct 1","Direct 2","Direct 3","Direct 4","Processed 1","Processed 2","Processed 3","Processed 4","Substitute 1","Substitute 2","Substitute 3","Substitute 4"
"Biowaste",2,2,"Spine_79","w"," EWC_075"," EWC_074"," EWC_072"," EWC_0911"," EWC_11_NOT_113",,,,,,,
"Birch",1,455,"Spine_80","m",,,,,,,,,,,,
"Birchwood",1,3.77,"Spine_81","m",,,,,,,,,,,,
"BL AIR set",1,0,"Spine_82","m",,,,,,,,,,,,
"Blank germanium",1,0,"Spine_83","m",,,,,,,,,,,,
"Blank zinc-selenium",1,0,"Spine_84","m",,,,,,,,,,,,
"Blast furnace gas",1,1.19,"Spine_85","e",,,,,,,,,,,,
"Blast-furnace gas",3,-937.7,"Spine_86","e",,,,,,,,,,,,
"Blasting material",1,0.4,"Spine_87","m",,,,,,,,,,,,
"Board",1,0,"Spine_88","m"," EWC_075",,,,,,,,,,,
"Bonder 202A",2,0.01,"Spine_89","m",,,,,,,,,,,,
"Bonder 202E",2,0.04,"Spine_90","m",,,,,,,,,,,,
"Boric acid",1,0.01,"Spine_91","m",,,,,,,,,,,,
"Boric fluorine acid",1,0.01,"Spine_92","m",,,,,,,,,,,,
"Boxkemikalie T225",1,0.01,"Spine_93","m",,,,,,,,,,,,
"Br",1,0.01,"Spine_94","m",,,,,,,,,,,,
"Brass",1,205,"Spine_95","m",,,,,,,,,,,,
"Brick",5,297.15,"Spine_96","m",,,,," EWC_121_TO_125_NOT_124",,,,,,,
"Briquets (recycled material)",1,0.04,"Spine_97","m",,,,,,,,,,,,
"Broken glass",2,367,"Spine_98","m",,,,," EWC_071",,,,,,,
"Brown coal",5,684.07,"Spine_99","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Brush",1,1,"Spine_100","m",,,,,,,,,,,,
"Bushing",1,1,"Spine_101","m",,,,,,,,,,,,
"Bushing 7.8 mm",1,1,"Spine_102","m",,,,,,,,,,,,
"Bushing 8.9 mm",1,1,"Spine_103","m",,,,,,,,,,,,
"Butyl acetate",1,0.06,"Spine_104","m",,,,,,,,,,,,
"Ca",1,0,"Spine_105","m",,,,,,,,,,,,
"Ca(OH)2",1,1012.16,"Spine_106","m",,,,,,,,,,,,
"CaCO3",2,5400,"Spine_107","m",,,,," EWC_124",,,,,,,
"Cadmium cyanide",1,0,"Spine_108","m",,,,,,,,,,,,
"Calcium fluoride",2,27.14,"Spine_109","m",,,,,,,,,,,,
"Calcium sulphate",6,3262.71,"Spine_110","m",,,,,,,,,,,,
"Calorific value",1,45.2,"Spine_111","m",,,,,,,,,,,,
"CaO",2,9000,"Spine_112","m",,,,,,,,,,,,
"Carbon",3,56.43,"Spine_113","m",,,,,,,,,,,,
"Carbon black",2,170,"Spine_114","m",,,,,,,,,,,,
"Carbon blocks",1,7.5,"Spine_115","m",,,,,,,,,,,,
"Carbon, graphite",2,8,"Spine_116","m",,,,,,,,,,,,
"Cardboard",4,1.39,"Spine_117","m",,,,," EWC_072",,,,,,,
"CaSO4",7,189,"Spine_118","m",,,,,,,,," EWC_124",,,
"Cast iron",2,37.75,"Spine_119","m",,,,,,,,,,,,
"Caustic soda",2,0.03,"Spine_120","m",,,,,,,,,,,,
"Cellulose",2,18.81,"Spine_121","m",,,,,,,,,,,,
"Cellulose paper",1,0.11,"Spine_122","m",,,,," EWC_072",,,,,,,
"Cement",3,347,"Spine_123","m",,,,,,,,,,,,
"Central heating",1,93117.4,"Spine_124","e",,,,,,,,,,,,
"Ceramic",2,0.01,"Spine_125","m",,,,,,,,,,,,
"CH4",1,0.03,"Spine_126","m",,,,,,,,,,,,
"Chalice",1,265,"Spine_127","m",,,,,,,,,,,,
"Chalk",10,1.75,"Spine_128","m",,,,,,,,,,,,
"Chelating agents",1,350,"Spine_129","m",,,,,,,,,,,,
"Chemicals",8,2737.01,"Spine_130","m",,,,,,,,,,,,
"China-clay",3,400.5,"Spine_131","m",,,,,,,,,,,,
"Chip (silicon)",3,0.01,"Spine_132","m",,,,,,,,,,,,
"Chlorine",3,0.11,"Spine_133","m",,,,,"EWC_077",,,,,,,
"Chromium",2,15.19,"Spine_134","m",,,,,,,,,,,,
"Chromium in ore",18,17.94,"Spine_135","m",,,,,,,,,,,,
"Chromium trioxide",1,0.05,"Spine_136","m",,,,,,,,,,,,
"Citric acid",1,0.01,"Spine_137","m",,,,,,,,,,,,
"Cl2 gas",1,0.1,"Spine_138","m",,,,,,,,,,,,
"Clay",20,439.57,"Spine_139","m",,,,,,,,,,,,
"Cleaners",1,0.06,"Spine_140","m",,,,,,,,,,,,
"Clear coat",1,2.68,"Spine_141","m",,,,,,,,,,,,
"CMC",2,0.02,"Spine_142","m",,,,,,,,,,,,
"CO2",2,3390,"Spine_143","m",,,,,,,,,,,,
"Coal",33,3209630.21,"Spine_144","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Coal in ground",1,17100,"Spine_145","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Coating material",1,0,"Spine_146","m",,,,,,,,,,,,
"Cobalt",5,0,"Spine_147","m",,,,,,,,,,,,
"Coconuts",2,3074,"Spine_148","m",,,,,,,,,,,,
"Coke",7,36.73,"Spine_149","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Coke dust",1,3.34,"Spine_150","m",,,,,,,,,,,,
"Coke gas",4,0.13,"Spine_151","m",,,,,,,,,,,,
"Cold reduced steel sheet",1,0.99,"Spine_152","m",,,,,,,,,,,,
"Cold rolled steel tube",1,1.96,"Spine_153","m",,,,,,,,,,,,
"Colemanite",2,42.1,"Spine_154","m",,,,,,,,,,,,
"Collar paste",1,6.5,"Spine_155","m",,,,,,,,,,,,
"Combustible waste",1,0.39,"Spine_156","w"," EWC_075"," EWC_074"," EWC_072",,,,,,,,,
"Commutator",1,1,"Spine_157","m",,,,,,,,,,,,
"Commutator core",1,1,"Spine_158","m",,,,,,,,,,,,
"Commutator washer",1,1,"Spine_159","m",,,,,,,,,,,,
"Controx 249 DV",1,0,"Spine_160","m",,,,,,,,,,,,
"Copper",3,1891.47,"Spine_161","m",,,,,,,,,,,,
"Copper cyanide",1,0,"Spine_162","m",,,,,,,,,,,,
"Copper in ore",16,32.71,"Spine_163","m",,,,,,,,,,,,
"Copper leadframe",5,0.53,"Spine_164","m",,,,,,,,,,,,
"Copper ore",10,216.83,"Spine_165","m",,,,,,,,,,,,
"Copper wire",4,29.33,"Spine_166","m",,,,,,,,,,,,
"Core",1,2,"Spine_167","m",,,,,,,,,,,,
"Core and core plug",1,0,"Spine_168","m",,,,,,,,,,,,
"cork",1,128,"Spine_169","m",,,,,,,,,,,,
"Corrugated board",1,1,"Spine_170","m",,,,," EWC_072",,,,,,,
"Crude coal",1,133.3,"Spine_171","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Crude gas",1,-0.01,"Spine_172","m",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Crude natural gas",1,0.58,"Spine_173","m",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Crude oil",51,2594478.17,"Spine_174","m",,,,,,,,,,,,
"Crude oil, feedstock",1,0,"Spine_175","m",,,,,,,,,,,,
"Cryolite",1,1.6,"Spine_176","m",,,,,,,,,,,,
"Cu",8,872.64,"Spine_177","m",,,,,,,,,,,,
"Cu alloy",1,0.07,"Spine_178","m",,,,,,,,,,,,
"Cultivated forest area",1,1,"Spine_179","g",,,,,,,,,,,,
"CuNi",1,0,"Spine_180","m",,,,,,,,,,,,
"Cutting fluid",3,0.96,"Spine_181","m",,,,,,,,,,,,
"Cutting oil",1,8.7,"Spine_182","m",,,,,,,,,,,,
"CuZn37",1,0.21,"Spine_183","m",,,,,,,,,,,,
"Cyanide dye",1,1,"Spine_184","m",,,,,,,,,,,,
"D 76 Developer",1,0.02,"Spine_185","m",,,,,,,,,,,,
"DAS-1",2,0,"Spine_186","m",,,,,,,,,,,,
"Deconex HT1153",1,15.2,"Spine_187","m",,,,,,,,,,,,
"Deconex HT115D",1,18.23,"Spine_188","m",,,,,,,,,,,,
"Deconex HT1169",1,22.79,"Spine_189","m",,,,,,,,,,,,
"Deconex HT1175",1,38.9,"Spine_190","m",,,,,,,,,,,,
"Deconex HT1217",1,11.4,"Spine_191","m",,,,,,,,,,,,
"Deconex SP33",1,59.27,"Spine_192","m",,,,,,,,,,,,
"Defoamers",2,800,"Spine_193","m",,,,,,,,,,,,
"Deganit B 68",1,240,"Spine_194","m",,,,,,,,,,,,
"Deganit BW  220",1,240,"Spine_195","m",,,,,,,,,,,,
"Degreasing agents",4,0.16,"Spine_196","m",,,,,"EWC_011",,,,,,,
"Detergents",1,0.01,"Spine_197","m",,,,,,,,,,,,
"Diabase",2,93.6,"Spine_198","m",,,,,,,,,,,,
"Diammonium phosphate",1,0.19,"Spine_199","m",,,,,,,,,,,,
"Diazo colorant",1,0.04,"Spine_200","m",,,,,,,,,,,,
"dichlorosilane",1,0,"Spine_201","m",,,,,,,,,,,,
"Die attach (siloxanes and silicons)",1,0.01,"Spine_202","m",,,,,,,,,,,,
"Die attach (silver)",3,0,"Spine_203","m",,,,,,,,,,,,
"Die TVS set",1,0.01,"Spine_204","m",,,,,,,,,,,,
"Diesel",37,19640.1,"Spine_205","f",,,,,,,,,,,,
"Diesel environmental class 1",5,815.43,"Spine_206","f",,,,,,,,,,,,
"Diesel environmental class 3",1,237,"Spine_207","f",,,,,,,,,,,,
"Diesel fuel",1,0.6,"Spine_208","f",,,,,,,,,,,,
"Diesel-energy-precom",1,0.03,"Spine_209","f",,,,,,,,,,,,
"Dimatrenn SL",1,0,"Spine_210","m",,,,,,,,,,,,
"Dimethylethanolamine",1,4.56,"Spine_211","m",,,,,,,,,,,,
"Dinitrol 112",1,240,"Spine_212","m",,,,,,,,,,,,
"Dinol 25",1,180,"Spine_213","m",,,,,,,,,,,,
"Dispersant",1,0.02,"Spine_214","m",,,,,,,,,,,,
"District heat",4,7275289.39,"Spine_215","e",,,,,,,,,,,,
"District heating",5,1137.05,"Spine_216","e",,,,,,,,,,,,
"DMAC",1,10,"Spine_217","m",,,,,,,,,,,,
"DMDA",1,40,"Spine_218","m",,,,,,,,,,,,
"Dolomite",28,4590.02,"Spine_219","m",,,,,,,,,,,,
"Drivibe 400 Z",1,0.03,"Spine_220","m",,,,,,,,,,,,
"Dyeing agents",1,0.13,"Spine_221","m",,,,,,,,,,,,
"Econochrom BK",1,0,"Spine_222","m",,,,,,,,,,,,
"Electrical components + flat cable",1,0.05,"Spine_223","m",,,,,,,,,,,,
"Electricity",440,29071015.7,"Spine_224","e",,,,,,,,,,,,
"Electricity (accounted)",3,0.61,"Spine_225","e",,,,,,,,,,,,
"Electricity (non-accounted)",5,15164.04,"Spine_226","e",,,,,,,,,,,,
"Electrode",2,8.42,"Spine_227","m",,,,,,,,,,,,
"Electrode silver",1,0,"Spine_228","m",,,,,,,,,,,,
"Elektromek Inc",1,0.11,"Spine_229","m",,,,,,,,,,,,
"EMI gasket",1,1,"Spine_230","m",,,,,,,,,,,,
"Emulsifier",1,1.73,"Spine_231","m",,,,,,,,,,,,
"Emulsion",3,7.31,"Spine_232","m",,,,,,,,,,,,
"Encapsulation (silica)",2,0.08,"Spine_233","m",,,,,,,,,,,,
"End cap",1,1,"Spine_234","m",,,,,,,,,,,,
"Energy (non-material)",2,48.65,"Spine_235","e",,,,,,,,,,,,
"Energyware",1,,"Spine_236","m",,,,,,,,,,,,
"Enzyme",3,0.02,"Spine_237","m",,,,,,,,,,,,
"EP glass",1,0.07,"Spine_238","m",,,,," EWC_071",,,,,,,
"E-plate copper",1,0,"Spine_239","m",,,,,,,,,,,,
"E-plate tin",1,0,"Spine_240","m",,,,,,,,,,,,
"Epoxy",4,2.91,"Spine_241","m",,,,,,,,,,,,
"Epoxy die attach (silver)",3,0.01,"Spine_242","m",,,,,,,,,,,,
"Epoxy resin",2,17.2,"Spine_243","m",,,,,,,,,,,,
"Ethanol",2,3116,"Spine_244","f",,,,,,,,,,,,
"Ethyl acetate",1,1,"Spine_245","m",,,,,,,,,,,,
"Ethyl Alcohol",2,0.02,"Spine_246","m",,,,,,,,,,,,
"Ethylene",1,1000,"Spine_247","m",,,,,,,,,,,,
"Ethylene propylene diene monomer (EPDM)",1,0,"Spine_248","m",,,,,,,,,,,,
"Even out agent",1,0.08,"Spine_249","m",,,,,,,,,,,,
"Explosives",4,9.14,"Spine_250","m",,,,,,,,,,,,
"F2",1,794,"Spine_251","m",,,,,,,,,,,,
"Face gear",1,1,"Spine_252","m",,,,,,,,,,,,
"Fat alcoholpolyclycolether",1,0.04,"Spine_253","m",,,,,,,,,,,,
"Fatty alcoholethoxylate",1,0.12,"Spine_254","m",,,,,,,,,,,,
"Fe",9,7571.16,"Spine_255","m",,,,," EWC_06",,,,,,,
"Fe3O4",1,0.27,"Spine_256","m",,,,,,,,,,,,
"FeCl3",1,-0.01,"Spine_257","m",,,,,,,,,,,,
"Feedstock energy",3,72.4,"Spine_258","e"," EWC_074"," EWC_075"," EWC_072"," EWC_076",,,,,,,,
"Feldspar",15,270.35,"Spine_259","m",,,,,,,,,,,,
"Fe-pellets",1,1.38,"Spine_260","m",,,,,,,,,,,,
"ferric chloride",2,506.33,"Spine_261","m",,,,,,,,,,,,
"Ferric oxide",1,0,"Spine_262","m",,,,,,,,,,,,
"Ferro Molybdenum (FeMo)",2,1.73,"Spine_263","m",,,,,,,,,,,,
"Ferro Sulphur (FeS)",2,0.67,"Spine_264","m",,,,,,,,,,,,
"Ferroboron (FeB)",2,0.65,"Spine_265","m",,,,,,,,,,,,
"Ferrochromium (FeCr)",2,34.41,"Spine_266","m",,,,,,,,,,,,
"Ferromanganese",4,0.58,"Spine_267","m",,,,,,,,,,,,
"Ferromanganese in ore",3,9.92,"Spine_268","m",,,,,,,,,,,,
"Ferroniobium (FeNb)",2,1.2,"Spine_269","m",,,,,,,,,,,,
"Ferrosilicon (FeSi)",2,10.55,"Spine_270","m",,,,,,,,,,,,
"Ferrotitanium (FeTi)",2,0.01,"Spine_271","m",,,,,,,,,,,,
"Ferrovanadium (FeV)",2,0.17,"Spine_272","m",,,,,,,,,,,,
"Fertilizers",1,280,"Spine_273","m",,,,,,,,," EWC_11_NOT_113"," EWC_09_NOT_0911_093"," EWC_093"," EWC_0911"
"FeS",1,0.01,"Spine_274","m",,,,,,,,,,,,
"FeSO4",2,0.1,"Spine_275","m",,,,,,,,,,,,
"Fibre materials",1,0.11,"Spine_276","m",,,,,,,,,,,,
"Filler coat",1,2.77,"Spine_277","m",,,,,,,,,,,,
"Film",2,0.33,"Spine_278","m",,,,,,,,,,,,
"Filter Pall HC 8904 FKP 16Z",1,0.71,"Spine_279","m",,,,,,,,," EWC_076",,,
"Final felling softwood",1,0.75,"Spine_280","m",,,,,,,,,,,,
"Fire proof stone",2,0.19,"Spine_281","m",,,,,,,,,,,,
"Flange",2,2,"Spine_282","m",,,,,,,,,,,,
"Flocculo agents",1,0,"Spine_283","m",,,,,,,,,,,,
"Fluoric polymer emulsion",1,0.16,"Spine_284","m",,,,,,,,,,,,
"Fluorite",1,0.26,"Spine_285","m",,,,,,,,,,,,
"Fluorspar",9,663.29,"Spine_286","m",,,,,,,,,,,,
"Fluxing agents",3,1.82,"Spine_287","m",,,,,,,,,,,,
"Fluxing salts",1,0.4,"Spine_288","m",,,,,,,,,,,,
"Forest land",1,4.52,"Spine_289","g",,,,,,,,,,,,
"Fossil fuel",8,62.68,"Spine_290","f",,,,," EWC_11_NOT_113",,,,,,,
"Fossil water",1,3509,"Spine_291","m"," EWC_074"," EWC_075"," EWC_072"," EWC_076",,,,,,,,
"FR4 laminate",1,1950.91,"Spine_292","m",,,,,,,,,,,,
"Front enclosure",1,1,"Spine_293","m",,,,,,,,,,,,
"Fuel",2,5.9,"Spine_294","f",,,,,"EWC_013"," EWC_11_NOT_113",,," EWC_075"," EWC_074"," EWC_072"," EWC_0911"
"Fuel gas",1,11000007.8,"Spine_295","m",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Fuel oil",9,971.72,"Spine_296","f",,,,,"EWC_013",,,,,,,
"Fuel oil, ship (2-stroke)",1,0.03,"Spine_297","f",,,,,,,,,,,,
"Fuel wood",2,910,"Spine_298","f"," EWC_075"," EWC_074"," EWC_072"," EWC_0911",,,,,,,,
"Galtin 140",1,0.03,"Spine_299","m",,,,,,,,,,,,
"gamma-Butyrolacetone",1,8603.24,"Spine_300","m",,,,,,,,,,,,
"gamma-NaOH",1,0.24,"Spine_301","m",,,,,,,,,,,,
"Gardorol CP 8010",2,0.05,"Spine_302","m",,,,,,,,,,,,
"Gas",16,585.07,"Spine_303","f",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Gasket",1,1,"Spine_304","m",,,,,,,,,,,,
"Gasoline",2,392.84,"Spine_305","f",,,,,,,,,,,,
"Gearbox",1,1,"Spine_306","m",,,,,,,,,,,,
"Gearbox cover",1,1,"Spine_307","m",,,,,,,,,,,,
"Glanzzusatz",1,0.01,"Spine_308","m",,,,,,,,,,,,
"Glass",3,0.31,"Spine_309","m",,,,," EWC_071",,,,,,,
"Glass container",1,1,"Spine_310","m",,,,,,,,,,,,
"Glass fibre",3,18.6,"Spine_311","m",,,,,,,,,,,,
"Glue",1,0,"Spine_312","m",,,,,,,,,,,,
"Gold",1,20,"Spine_313","m",,,,,,,,,,,,
"Gold plated board",1,0.27,"Spine_314","m",,,,,,,,,,,,
"Gold wire",7,0.01,"Spine_315","m",,,,,,,,,,,,
"Granite",9,621.5,"Spine_316","m",,,,,,,,,,,,
"Gravel",14,7997.75,"Spine_317","m",,,,,,,,,,,,
"Grease",6,1.42,"Spine_318","m",,,,,,,,,,,,
"Grind media",3,1.1,"Spine_319","m",,,,,,,,,,,,
"grinding paper",1,49,"Spine_320","m",,,,," EWC_072",,,,,,,
"grinding plates",2,0,"Spine_321","m",,,,,,,,,,,,
"Ground water",2,87,"Spine_322","m",,,,,,,,,,,,
"Guide ring",1,9.6,"Spine_323","m",,,,,,,,,,,,
"Gypsum",4,1510.4,"Spine_324","m",,,,,,,,," EWC_124",,,
"H2O",4,13.65,"Spine_325","m",,,,,,,,,,,,
"H2O2",3,7812.37,"Spine_326","m",,,,,,,,,,,,
"H2SO4",13,22197.18,"Spine_327","m",,,,,,,,,,,,
"Halite",1,0,"Spine_328","m",,,,,,,,,,,,
"Hard coal",31,79186.74,"Spine_329","m",,,,," EWC_075"," EWC_074"," EWC_072",,,,,
"Hard metal",1,1834.51,"Spine_330","m",,,,,,,,,,,,
"Hardwood",1,0,"Spine_331","m",,,,,,,,,,,,
"Harness",1,1,"Spine_332","m",,,,,,,,,,,,
"HCl",7,61.52,"Spine_333","m",,,,,,,,,,,,
"He",1,0.26,"Spine_334","m",,,,,,,,,,,,
"Heat",4,3703.98,"Spine_335","e",,,,,,,,,,,,
"Heat oil",1,0.2,"Spine_336","f",,,,,"EWC_013",,,,,,,
"Heat sink",1,1,"Spine_337","m",,,,,,,,,,,,
"heat treated roller",1,11.44,"Spine_338","m",,,,,,,,,,,,
"Heating oil",1,6,"Spine_339","f",,,,,"EWC_013",,,,,,,
"Heavy fuel oil",3,4265.48,"Spine_340","f",,,,,"EWC_013",,,,,,,
"Heavy oil",20,440.18,"Spine_341","f",,,,,"EWC_013",,,,,,,
"Heptane",1,0.01,"Spine_342","m",,,,,,,,,,,,
"Herbicides",3,1.28,"Spine_343","m",,,,,,,,,,,,
"hessian",1,280,"Spine_344","m",,,,,,,,,,,,
"HF",1,0.62,"Spine_345","m",,,,,,,,,,,,
"Hg",1,0,"Spine_346","m",,,,,,,,,,,,
"HNO3",1,0.28,"Spine_347","m",,,,,,,,,,,,
"Hot rolled round steel billets",1,1.07,"Spine_348","m",,,,,,,,,,,,
"Hot rolled steel sheet",1,1.03,"Spine_349","m",,,,,,,,,,,,
"Hot rolled steel tube",1,1.11,"Spine_350","m",,,,,,,,,,,,
"Housing",2,2,"Spine_351","m",,,,,,,,,,,,
"Hydraulic Oil",9,3.35,"Spine_352","f",,,,,,,,,,,,
"Hydrazine",1,0,"Spine_353","m",,,,,,,,,,,,
"Hydro (El.)",1,0.75,"Spine_354","e",,,,,,,,,,,,
"Hydro energy",22,255.32,"Spine_355","e",,,,,,,,,,,,
"Hydro power",13,4975.5,"Spine_356","e",,,,,,,,,,,,
"Hydrochloric acid",8,6074.93,"Spine_357","m",,,,,,,,,,,,
"Hydrogen",2,0.67,"Spine_358","m",,,,,,,,,,,,
"Hydrogen peroxide",3,1306.96,"Spine_359","m",,,,,,,,,,,,
"Hyspin AWS 46",1,0,"Spine_360","m",,,,,,,,,,,,
"Ingot Mould",5,2077.2,"Spine_361","m",,,,,,,,,,,,
"Ink",2,1.61,"Spine_362","m",,,,,,,,,,,,
"Insecticides",3,0.51,"Spine_363","m",,,,,,,,,,,,
"Insulating material",1,1,"Spine_364","m",,,,,,,,,,,,
"Insulation stone",2,0.32,"Spine_365","m",,,,,,,,,,,,
"Ion exchanger",2,0,"Spine_366","m",,,,,,,,,,,,
"Iron",2,6.59,"Spine_367","m",,,,,,,,,,,,
"Iron and nickel alloy",1,0.03,"Spine_368","m",,,,,,,,,,,,
"Iron in ore",27,8282.07,"Spine_369","m",,,,,,,,,,,,
"Iron ore",34,274000.95,"Spine_370","m",,,,,,,,,,,,
"Iron sulphate",2,75.1,"Spine_371","m",,,,,,,,,,,,
"Iron trichloride",1,0.02,"Spine_372","m",,,,,,,,,,,,
"Ironsulphate",1,36.9,"Spine_373","m",,,,,,,,,,,,
