"product","substance","quantity","unit"
"Combustion of waste to generate heat and electricity","Flocculo agents",0,
"Combustion of waste to generate heat and electricity","Fuel oil",0,
"Combustion of waste to generate heat and electricity","Hydrochloric acid",0.05,
"Combustion of waste to generate heat and electricity","Levoxin",0,
"Combustion of waste to generate heat and electricity","Limestone",2.03,
"Combustion of waste to generate heat and electricity","Precipitation agent",0.02,
"Combustion of waste to generate heat and electricity","Slaked lime",0.36,
"Combustion of waste to generate heat and electricity","Trisodium phosphate",0,
"Composting of solid municipal waste","Biowaste",1,
"Composting of solid municipal waste","Electricity",18,
"Connector assembly","Au",0,
"Connector assembly","Cu",0.15,
"Connector assembly","Electricity",6.51,
"Connector assembly","Ni",0,
"Connector assembly","P",0,
"Connector assembly","Polyester",0.82,
"Connector assembly","Sn",0.02,
"Connector assembly","SnPb30 plating",0,
"Construction of liquid composting batch system. ESA-DBP","Additives",12.8,
"Construction of liquid composting batch system. ESA-DBP","Diesel",0.68,
"Construction of liquid composting batch system. ESA-DBP","Electricity",10,
"Construction of liquid composting batch system. ESA-DBP","*Cr",58.5,
"Construction of liquid composting batch system. ESA-DBP","*Fe",499,
"Construction of liquid composting batch system. ESA-DBP","*Ni",26,
"Construction of liquid composting batch system. ESA-DBP","Aggregates",33400,
"Construction of liquid composting batch system. ESA-DBP","Alloy materials",153,
"Construction of liquid composting batch system. ESA-DBP","Bauxite",0.28,
"Construction of liquid composting batch system. ESA-DBP","Blast-furnace gas",-0.85,
"Construction of liquid composting batch system. ESA-DBP","Chemicals",14,
"Construction of liquid composting batch system. ESA-DBP","China-clay",85.5,
"Construction of liquid composting batch system. ESA-DBP","Coal",55.9,
"Construction of liquid composting batch system. ESA-DBP","Coke",6.48,
"Construction of liquid composting batch system. ESA-DBP","Coke",9.86,
"Construction of liquid composting batch system. ESA-DBP","Coke gas",-0.22,
"Construction of liquid composting batch system. ESA-DBP","Diabase",35.1,
"Construction of liquid composting batch system. ESA-DBP","Dolomite",7.2,
"Construction of liquid composting batch system. ESA-DBP","Explosives",4.3,
"Construction of liquid composting batch system. ESA-DBP","Feldspar",42.8,
"Construction of liquid composting batch system. ESA-DBP","Gas",55.3,
"Construction of liquid composting batch system. ESA-DBP","Grind media",0.57,
"Construction of liquid composting batch system. ESA-DBP","Gypsum",290,
"Construction of liquid composting batch system. ESA-DBP","Iron ore",5510,
"Construction of liquid composting batch system. ESA-DBP","Iron sulphate",58.2,
"Construction of liquid composting batch system. ESA-DBP","Limestone",9150,
"Construction of liquid composting batch system. ESA-DBP","Macadam",0.01,
"Construction of liquid composting batch system. ESA-DBP","Minerals",517,
"Construction of liquid composting batch system. ESA-DBP","NaCl",1650,
"Construction of liquid composting batch system. ESA-DBP","Oil",57.6,
"Construction of liquid composting batch system. ESA-DBP","Phenol",0.54,
"Construction of liquid composting batch system. ESA-DBP","Quartzite",335,
"Construction of liquid composting batch system. ESA-DBP","Sand",1750,
"Construction of liquid composting batch system. ESA-DBP","Steel scrap",1990,
"Construction of liquid composting batch system. ESA-DBP","Urea",0.36,
"Construction of liquid composting batch system. ESA-DBP","Waste oil",78.6,
"Construction of liquid composting batch system. ESA-DBP","Wood",100,
"Construction of liquid composting continous system. ESA-DBP","Wood",104,
"Construction of liquid composting continous system. ESA-DBP","Additives",6.88,
"Construction of liquid composting continous system. ESA-DBP","Alloy materials",77.6,
"Construction of liquid composting continous system. ESA-DBP","Chemicals",7.24,
"Construction of liquid composting continous system. ESA-DBP","China-clay",132,
"Construction of liquid composting continous system. ESA-DBP","Clay",0,
"Construction of liquid composting continous system. ESA-DBP","Coke",6.5,
"Construction of liquid composting continous system. ESA-DBP","Diesel",0.45,
"Construction of liquid composting continous system. ESA-DBP","Electricity",8.6,
"Construction of liquid composting continous system. ESA-DBP","Explosives",2.47,
"Construction of liquid composting continous system. ESA-DBP","Fire proof stone",0.19,
"Construction of liquid composting continous system. ESA-DBP","Grind media",0.36,
"Construction of liquid composting continous system. ESA-DBP","Gypsum",184,
"Construction of liquid composting continous system. ESA-DBP","H2SO4",2.11,
"Construction of liquid composting continous system. ESA-DBP","Insulation stone",0.31,
"Construction of liquid composting continous system. ESA-DBP","Ironsulphate",36.9,
"Construction of liquid composting continous system. ESA-DBP","NaCl",2450,
"Construction of liquid composting continous system. ESA-DBP","Oil",62.2,
"Construction of liquid composting continous system. ESA-DBP","Phenol",0.9,
"Construction of liquid composting continous system. ESA-DBP","Steel scrap",643,
"Construction of liquid composting continous system. ESA-DBP","Urea",0.6,
"Construction of liquid composting continous system. ESA-DBP","Waste oil",49.8,
"Construction of liquid composting continous system. ESA-DBP","*Cr",58.5,
"Construction of liquid composting continous system. ESA-DBP","*Fe",499,
"Construction of liquid composting continous system. ESA-DBP","*Ni",26,
"Construction of liquid composting continous system. ESA-DBP","Aggregates",21100,
"Construction of liquid composting continous system. ESA-DBP","Bauxite",177,
"Construction of liquid composting continous system. ESA-DBP","Blast-furnace gas",-0.85,
"Construction of liquid composting continous system. ESA-DBP","Coal",37.8,
"Construction of liquid composting continous system. ESA-DBP","Coke",10.8,
"Construction of liquid composting continous system. ESA-DBP","Coke gas",-0.22,
"Construction of liquid composting continous system. ESA-DBP","Colemanite",17.7,
"Construction of liquid composting continous system. ESA-DBP","Diabase",58.5,
"Construction of liquid composting continous system. ESA-DBP","Dolomite",12,
"Construction of liquid composting continous system. ESA-DBP","Feldspar",42.8,
"Construction of liquid composting continous system. ESA-DBP","Fluorspar",1.75,
"Construction of liquid composting continous system. ESA-DBP","Gas",55.2,
"Construction of liquid composting continous system. ESA-DBP","Iron ore",3500,
"Construction of liquid composting continous system. ESA-DBP","Iron ore",5200,
"Construction of liquid composting continous system. ESA-DBP","Limestone",5810,
"Construction of liquid composting continous system. ESA-DBP","Macadam",0.01,
"Construction of liquid composting continous system. ESA-DBP","Minerals",278,
"Construction of liquid composting continous system. ESA-DBP","Ni",26,
"Construction of liquid composting continous system. ESA-DBP","Quartzite",227,
"Construction of liquid composting continous system. ESA-DBP","Sand",1760,
"Construction of small-scale waste water treatment plant. ESA-DBP","Additives",4.21,
"Construction of small-scale waste water treatment plant. ESA-DBP","Aggregates",9700,
"Construction of small-scale waste water treatment plant. ESA-DBP","Alloy materials",44.7,
"Construction of small-scale waste water treatment plant. ESA-DBP","Blast-furnace gas",-936,
"Construction of small-scale waste water treatment plant. ESA-DBP","Chemicals",4.29,
"Construction of small-scale waste water treatment plant. ESA-DBP","Diesel",0.05,
"Construction of small-scale waste water treatment plant. ESA-DBP","Electricity",5.1,
"Construction of small-scale waste water treatment plant. ESA-DBP","Explosives",1.35,
"Construction of small-scale waste water treatment plant. ESA-DBP","*Cr",1.02,
"Construction of small-scale waste water treatment plant. ESA-DBP","*Fe",60.7,
"Construction of small-scale waste water treatment plant. ESA-DBP","*Ni",0.45,
"Construction of small-scale waste water treatment plant. ESA-DBP","*Sand",62.4,
"Construction of small-scale waste water treatment plant. ESA-DBP","Bauxite",4.51,
"Construction of small-scale waste water treatment plant. ESA-DBP","China-clay",183,
"Construction of small-scale waste water treatment plant. ESA-DBP","Clay",0.01,
"Construction of small-scale waste water treatment plant. ESA-DBP","Coal",437,
"Construction of small-scale waste water treatment plant. ESA-DBP","Coal",8.12,
"Construction of small-scale waste water treatment plant. ESA-DBP","Coke",2.79,
"Construction of small-scale waste water treatment plant. ESA-DBP","Coke gas",-0.02,
"Construction of small-scale waste water treatment plant. ESA-DBP","Colemanite",24.4,
"Construction of small-scale waste water treatment plant. ESA-DBP","Feldspar",59.4,
"Construction of small-scale waste water treatment plant. ESA-DBP","Fire proof stone",0,
"Construction of small-scale waste water treatment plant. ESA-DBP","Fluorspar",0.04,
"Construction of small-scale waste water treatment plant. ESA-DBP","Gas",27.3,
"Construction of small-scale waste water treatment plant. ESA-DBP","Gas",447,
"Construction of small-scale waste water treatment plant. ESA-DBP","Grind media",0.17,
"Construction of small-scale waste water treatment plant. ESA-DBP","Gypsum",84.4,
"Construction of small-scale waste water treatment plant. ESA-DBP","H2SO4",0.05,
"Construction of small-scale waste water treatment plant. ESA-DBP","Insulation stone",0.01,
"Construction of small-scale waste water treatment plant. ESA-DBP","Iron ore",1830,
"Construction of small-scale waste water treatment plant. ESA-DBP","Iron sulphate",16.9,
"Construction of small-scale waste water treatment plant. ESA-DBP","Limestone",2720,
"Construction of small-scale waste water treatment plant. ESA-DBP","Minerals",170,
"Construction of small-scale waste water treatment plant. ESA-DBP","NaCl",2780,
"Construction of small-scale waste water treatment plant. ESA-DBP","Oil",13.6,
"Construction of small-scale waste water treatment plant. ESA-DBP","Oil",793,
"Construction of small-scale waste water treatment plant. ESA-DBP","Quartzite",144,
"Construction of small-scale waste water treatment plant. ESA-DBP","Steel scrap",210,
"Construction of small-scale waste water treatment plant. ESA-DBP","Waste oil",22.8,
"Construction of small-scale waste water treatment plant. ESA-DBP","Wood",123,
"Converting waste-oil into fuel oil AGGR","Alpoclar 200",0.27,
"Converting waste-oil into fuel oil AGGR","Aluminium sulphate",0.03,
"Converting waste-oil into fuel oil AGGR","Ammonia",0.03,
"Converting waste-oil into fuel oil AGGR","Degreasing agents",0,
"Converting waste-oil into fuel oil AGGR","Degreasing agents",0.06,
"Converting waste-oil into fuel oil AGGR","Diesel environmental class 1",0.43,
"Converting waste-oil into fuel oil AGGR","Electricity",155.89,
"Converting waste-oil into fuel oil AGGR","Fuel oil",0.04,
"Converting waste-oil into fuel oil AGGR","H2SO4",0.04,
"Converting waste-oil into fuel oil AGGR","HCl",0.25,
"Converting waste-oil into fuel oil AGGR","Levoxin/Hydrazin",,
"Converting waste-oil into fuel oil AGGR","Lime",0.28,
"Converting waste-oil into fuel oil AGGR","Magnafloc LT 27 AG",0,
"Converting waste-oil into fuel oil AGGR","NaOH",2.73,
"Converting waste-oil into fuel oil AGGR","Nitric acid",0.03,
"Converting waste-oil into fuel oil AGGR","Petrotec RI-54",0,
"Converting waste-oil into fuel oil AGGR","Phosphoric acid",0.2,
"Converting waste-oil into fuel oil AGGR","PIX 111",1.54,
"Converting waste-oil into fuel oil AGGR","Polymers",,
"Converting waste-oil into fuel oil AGGR","Sedipur Cf 104",0.01,
"Converting waste-oil into fuel oil AGGR","Sodiumhypoclorite",0,
"Converting waste-oil into fuel oil AGGR","Thermal energy",3.82,
"Converting waste-oil into fuel oil AGGR","TMT 15",0,
"Converting waste-oil into fuel oil AGGR","Transformer oil",0.06,
"Converting waste-oil into fuel oil AGGR","Trinatriumfosfat",,
"Converting waste-oil into fuel oil AGGR","TUFF 100",0.07,
"Converting waste-oil into fuel oil AGGR","Waste oil",1.48,
"Copper ore concentrate preparation and delivery","Bauxite",20000,
"Copper ore concentrate preparation and delivery","Bentonite",50,
"Copper ore concentrate preparation and delivery","Calcium sulphate",1100,
"Copper ore concentrate preparation and delivery","Coal",715000,
"Copper ore concentrate preparation and delivery","Crude oil",150000,
"Copper ore concentrate preparation and delivery","Dolomite",810,
"Copper ore concentrate preparation and delivery","Iron ore",67000,
"Copper ore concentrate preparation and delivery","Lead",2,
"Copper ore concentrate preparation and delivery","Lignite",4500,
"Copper ore concentrate preparation and delivery","Limestone",62000,
"Copper ore concentrate preparation and delivery","NaCl",1000,
"Copper ore concentrate preparation and delivery","Natural gas",53000,
"Copper ore concentrate preparation and delivery","Nitrogen",420,
"Copper ore concentrate preparation and delivery","Sulphur",355,
"Copper ore concentrate preparation and delivery","Wood",44000,
"Copper ore concentrate preparation and delivery","Zinc",870,
"Copper ore mining","Bauxite",35000,
"Copper ore mining","Bentonite",16,
"Copper ore mining","Calcium sulphate",200,
"Copper ore mining","Coal",327800,
"Copper ore mining","Crude oil",110000,
"Copper ore mining","Dolomite",260,
"Copper ore mining","Iron ore",21000,
"Copper ore mining","Lignite",260,
"Copper ore mining","Limestone",16000,
"Copper ore mining","NaCl",940,
"Copper ore mining","Natural gas",19000,
"Copper ore mining","Nitrogen",720,
"Copper ore mining","Olivine",200,
"Copper ore mining","Sulphur",430,
"Copper ore mining","Wood",37000,
"Copper production","Bauxite",24.8,
"Copper production","Chalice",265,
"Copper production","Coal",68,
"Copper production","Cu",863,
"Copper production","Dolomite",0.11,
"Copper production","Feldspar",79.6,
"Copper production","Hydro power",16,
"Copper production","Lime",0.15,
"Copper production","Limestone",4.45,
"Copper production","Natural gas",107.05,
"Copper production","Oil",210.26,
"Copper production","Peat",15.4,
"Copper production","Sand",0.88,
"Copper production","Sodium sulphate",2.8,
"Copper production","Uranium ore",19.9,
"Copper production","Water",6110,
"Copper production","Diesel",1.27,
"Copper production","Electricity",2.01,
"Copper production","Emulsifier",1.73,
"Copper production","Metal dust",56.4,
"Copper production","Portland soda",0.13,
"Copper production","Renewable energy source",85,
"Copper production","Scrap-copper",117.34,
"Copper production","Solvey soda",0.13,
"Cotton (conventional) fibres production. ESA-DBP","Water",18000,
"Cotton (conventional) fibres production. ESA-DBP","Energy (non-material)",48.65,
"Cotton (conventional) fibres production. ESA-DBP","Fertilizers",280,
"Cotton (conventional) fibres production. ESA-DBP","Herbicides",1.21,
"Cotton (conventional) fibres production. ESA-DBP","Insecticides",0.42,
"Cotton covering of sofa. ESA-DBP","Acetic acid",0.45,
"Cotton covering of sofa. ESA-DBP","AE",0.06,
"Cotton covering of sofa. ESA-DBP","Alkylpolyethyleneglycolether",0.11,
"Cotton covering of sofa. ESA-DBP","Ammonium nitrate",1.44,
"Cotton covering of sofa. ESA-DBP","Azo-copper complex colorant",0,
"Cotton covering of sofa. ESA-DBP","Azo-reactive colorant",0.15,
"Cotton covering of sofa. ESA-DBP","Cardboard",0.22,
"Cotton covering of sofa. ESA-DBP","Chemicals",0,
"Cotton covering of sofa. ESA-DBP","CMC",0.01,
"Cotton covering of sofa. ESA-DBP","DAS-1",0,
"Cotton covering of sofa. ESA-DBP","Diammonium phosphate",0.19,
"Cotton covering of sofa. ESA-DBP","Diazo colorant",0.04,
"Cotton covering of sofa. ESA-DBP","Enzyme",0,
"Cotton covering of sofa. ESA-DBP","Enzyme",0.02,
"Cotton covering of sofa. ESA-DBP","Fat alcoholpolyclycolether",0.04,
"Cotton covering of sofa. ESA-DBP","Fatty alcoholethoxylate",0.12,
"Cotton covering of sofa. ESA-DBP","FeSO4",0.06,
"Cotton covering of sofa. ESA-DBP","Fluoric polymer emulsion",0.16,
"Cotton covering of sofa. ESA-DBP","Herbicides",0.01,
"Cotton covering of sofa. ESA-DBP","Hydrogen peroxide",0.11,
"Cotton covering of sofa. ESA-DBP","Insecticides",0.05,
"Cotton covering of sofa. ESA-DBP","LAS",0.08,
"Cotton covering of sofa. ESA-DBP","Lime",0,
"Cotton covering of sofa. ESA-DBP","Lubricant oil",0,
"Cotton covering of sofa. ESA-DBP","Magnesium chloride",0.02,
"Cotton covering of sofa. ESA-DBP","Methoxymethylated 4,5-dihyrdoxyethylurea",0.03,
"Cotton covering of sofa. ESA-DBP","Na carbonate",0.08,
"Cotton covering of sofa. ESA-DBP","Na perborate",0.12,
"Cotton covering of sofa. ESA-DBP","Na sulphate",0.1,
"Cotton covering of sofa. ESA-DBP","Nonionic emulsifier",0.01,
"Cotton covering of sofa. ESA-DBP","Organic phosphorous compound",0.04,
"Cotton covering of sofa. ESA-DBP","Other fuel",10.2,
"Cotton covering of sofa. ESA-DBP","Paper",0.02,
"Cotton covering of sofa. ESA-DBP","Paraffine mixture, anionic",0.02,
"Cotton covering of sofa. ESA-DBP","Perflouric acids",,
"Cotton covering of sofa. ESA-DBP","Phosphonate",0.01,
"Cotton covering of sofa. ESA-DBP","Phosphoric acid ester, anionic",0.02,
"Cotton covering of sofa. ESA-DBP","Polyacrylic and phosphoric acid derivate",0.02,
"Cotton covering of sofa. ESA-DBP","Polycarboxylate",0.02,
"Cotton covering of sofa. ESA-DBP","Potassium nitrate",0.1,
"Cotton covering of sofa. ESA-DBP","Proteine derivate",0.02,
"Cotton covering of sofa. ESA-DBP","Soap",0.02,
"Cotton covering of sofa. ESA-DBP","Sodium carbonate",0.06,
"Cotton covering of sofa. ESA-DBP","Sodium chloride",0.01,
"Cotton covering of sofa. ESA-DBP","Sodium hydroxide",2.38,
"Cotton covering of sofa. ESA-DBP","Sodium salt",0.04,
"Cotton covering of sofa. ESA-DBP","Sodium silicate",0.25,
"Cotton covering of sofa. ESA-DBP","Starch",0.36,
"Cotton covering of sofa. ESA-DBP","Sulphuric acid",0.01,
"Cotton covering of sofa. ESA-DBP","Surfactants with terpene hydrocarbons",0.03,
"Cotton covering of sofa. ESA-DBP","TAED",0.02,
"Cotton covering of sofa. ESA-DBP","Water",1.69,
"Cotton covering of sofa. ESA-DBP","Zeolite A",0.24,
"Cotton covering of sofa. ESA-DBP","Agricultural land",108,
"Cotton covering of sofa. ESA-DBP","Bauxite",0.03,
"Cotton covering of sofa. ESA-DBP","Biomass",0.83,
"Cotton covering of sofa. ESA-DBP","Crude oil",17,
"Cotton covering of sofa. ESA-DBP","Hard coal",3.18,
"Cotton covering of sofa. ESA-DBP","Hydro energy",161,
"Cotton covering of sofa. ESA-DBP","Iron in ore",0,
"Cotton covering of sofa. ESA-DBP","Iron ore",0,
"Cotton covering of sofa. ESA-DBP","Irrigation water",22600,
"Cotton covering of sofa. ESA-DBP","Lignite",0.27,
"Cotton covering of sofa. ESA-DBP","Limestone",0.04,
"Cotton covering of sofa. ESA-DBP","Natural gas",0.7,
"Cotton covering of sofa. ESA-DBP","Sodium chloride",0.02,
"Cotton covering of sofa. ESA-DBP","Unspecified fuel",0,
"Cotton covering of sofa. ESA-DBP","Uranium in ore",0,
"Cotton covering of sofa. ESA-DBP","Water",1560,
"Cotton covering of sofa. ESA-DBP","Water",401,
"Cotton covering of sofa. ESA-DBP","Wind energy",0.34,
"Cotton covering of sofa. ESA-DBP","Wood",0.83,
"Crushing and cleaning of broken glass","Broken glass",1,
"Crushing and cleaning of broken glass","Electricity",0.01,
"Cultivation and felling of trees for papermaking. ESA-DBP","Birch",455,
"Cultivation and felling of trees for papermaking. ESA-DBP","Diesel",108,
"Cutting of steel bars (117x147 mm)","Diesel",0.88,
"Cutting of steel bars (117x147 mm)","Electricity",0.92,
"Cutting of steel bars (117x147 mm)","Steel bar",12.6,
"Czech Republic, electricity generation mix 1998","Electricity",0,
"Czech Republic, electricity generation mix 1998","Electricity",0,
"Czech Republic, electricity generation mix 1998","Electricity",0,
"Czech Republic, electricity generation mix 1998","Electricity",0,
"Czech Republic, electricity generation mix 1998","Electricity",13178,
"Czech Republic, electricity generation mix 1998","Electricity",1396,
"Czech Republic, electricity generation mix 1998","Electricity",2053,
"Czech Republic, electricity generation mix 1998","Electricity",40179,
"Czech Republic, electricity generation mix 1998","Electricity",491,
"Czech Republic, electricity generation mix 1998","Electricity",598,
"Czech Republic, electricity generation mix 1998","Electricity",6113,
"Czech Republic, electricity generation mix 1998","Electricity",616,
"Denmark, electricity generation mix 1998","Electricity",0,
"Denmark, electricity generation mix 1998","Electricity",0,
"Denmark, electricity generation mix 1998","Electricity",0,
"Denmark, electricity generation mix 1998","Electricity",0,
"Denmark, electricity generation mix 1998","Electricity",0,
"Denmark, electricity generation mix 1998","Electricity",1456,
"Denmark, electricity generation mix 1998","Electricity",23648,
"Denmark, electricity generation mix 1998","Electricity",27,
"Denmark, electricity generation mix 1998","Electricity",2780,
"Denmark, electricity generation mix 1998","Electricity",38,
"Denmark, electricity generation mix 1998","Electricity",4968,
"Denmark, electricity generation mix 1998","Electricity",8166,
"De-watering of water-sludge","Water-sludge",1,
"Diesel combustion","Diesel",1,
"Diesel engine, Euro 0","Diesel environmental class 1",213,
"Diesel engine, Euro 1","Diesel environmental class 1",207,
"Diesel engine, Euro 2","Diesel environmental class 1",202,
"Diesel engine, future","Diesel environmental class 1",193,
"Diesel production","Crude natural gas",0.58,
"Diesel production","Crude oil",25.1,
"Dioctyl phthalate (DOP) production. ESA-DBP","Diesel",0.05,
"Dioctyl phthalate (DOP) production. ESA-DBP","Electricity",1.8,
"Dioctyl phthalate (DOP) production. ESA-DBP","Fuel oil",11.2,
"Dioctyl phthalate (DOP) production. ESA-DBP","Fuel oil",171,
"Dioctyl phthalate (DOP) production. ESA-DBP","orthoxylene",355,
"Dioctyl phthalate (DOP) production. ESA-DBP","Propylene",500,
"Diode wafer production and assembly","2-(2-Butoxyethoxy)ethanol",0.01,
"Diode wafer production and assembly","Acetic Acid",0.03,
"Diode wafer production and assembly","Ag",0,
"Diode wafer production and assembly","Au",0.06,
"Diode wafer production and assembly","Butyl acetate",0.06,
"Diode wafer production and assembly","Copper",1.31,
"Diode wafer production and assembly","dichlorosilane",0,
"Diode wafer production and assembly","Electricity",241.02,
"Diode wafer production and assembly","Epoxy",1.33,
"Diode wafer production and assembly","Ethyl Alcohol",0.02,
"Diode wafer production and assembly","H2O2",0.22,
"Diode wafer production and assembly","H2SO4",0.6,
"Diode wafer production and assembly","HF",0.62,
"Diode wafer production and assembly","HNO3",0.28,
"Diode wafer production and assembly","Hydrochloric acid",0.1,
"Diode wafer production and assembly","Hydrogen",0.09,
"Diode wafer production and assembly","Isopropanol",0.55,
"Diode wafer production and assembly","Kraftliner",3.9,
"Diode wafer production and assembly","Methanesulfonic Acid",0.14,
"Diode wafer production and assembly","Methanol",0.55,
"Diode wafer production and assembly","Mo",0,
"Diode wafer production and assembly","N2",92.6,
"Diode wafer production and assembly","Natural gas",0.28,
"Diode wafer production and assembly","NH3",0.02,
"Diode wafer production and assembly","NH4Cl",0.01,
"Diode wafer production and assembly","Ni",0.03,
"Diode wafer production and assembly","Nickel chloride",0,
"Diode wafer production and assembly","Oil",0.24,
"Diode wafer production and assembly","Oxygen",0.75,
"Diode wafer production and assembly","Pb",0,
"Diode wafer production and assembly","Photoresist",0.03,
"Diode wafer production and assembly","Polyvinyl Chloride",0,
"Diode wafer production and assembly","Silicon Tetrahydride",0,
"Diode wafer production and assembly","Sn",0.06,
"Diode wafer production and assembly","Solder",0.04,
"Diode wafer production and assembly","Solder cream",0.04,
"Diode wafer production and assembly","Ti",0,
"Diode wafer production and assembly","Trisodium Citrate",0.01,
"Diode wafer production and assembly","Xylene",0.3,
"Dismounting of bearing","Bearing",1.2,
